Candidate,Party,Criminal Cases,Education,Age,Total Assets,Liabilities,Constituency,District
Muthuselvam V,IND,0,Not Given,50,"Rs 2,86,000 ~ 2 Lacs+",Rs 0 ~,Aranthangi,Pudukkottai
Rajanayagam M,AIADMK,2,10th Pass,56,"Rs 1,95,77,932 ~ 1 Crore+","Rs 6,58,660 ~ 6 Lacs+",Aranthangi,Pudukkottai
Ramachandran T,INC,0,Graduate Professional,40,"Rs 1,42,51,126 ~ 1 Crore+","Rs 34,11,744 ~ 34 Lacs+",Aranthangi,Pudukkottai
Ramalingaswami Adihithan. Ppc,Akhila India Jananayaka Makkal Katchi (Dr. Isaac),0,Post Graduate,48,"Rs 4,41,09,539 ~ 4 Crore+","Rs 1,10,000 ~ 1 Lacs+",Aranthangi,Pudukkottai
Ramasamy R S,IND,0,Post Graduate,41,"Rs 43,08,000 ~ 43 Lacs+","Rs 12,00,000 ~ 12 Lacs+",Aranthangi,Pudukkottai
Sakthivel K,Tamizhaga Murpokku Makkal Katchi,0,Post Graduate,62,"Rs 1,80,12,646 ~ 1 Crore+","Rs 3,20,312 ~ 3 Lacs+",Aranthangi,Pudukkottai
Selvakumar K,IND,0,10th Pass,39,"Rs 8,82,000 ~ 8 Lacs+","Rs 3,50,000 ~ 3 Lacs+",Aranthangi,Pudukkottai
Shaik Mohamed B,Makkal Needhi Maiam,0,5th Pass,54,"Rs 80,55,000 ~ 80 Lacs+","Rs 19,71,000 ~ 19 Lacs+",Aranthangi,Pudukkottai
Sivashanmugam K,Amma Makkal Munnettra Kazagam,3,10th Pass,69,"Rs 54,60,000 ~ 54 Lacs+",Rs 0 ~,Aranthangi,Pudukkottai
Syed Sulthan Ibrahim A,IND,0,Not Given,37,"Rs 3,95,215 ~ 3 Lacs+",Rs 0 ~,Aranthangi,Pudukkottai
Velraj. K P,IND,0,Literate,46,"Rs 93,41,325 ~ 93 Lacs+","Rs 15,00,000 ~ 15 Lacs+",Aranthangi,Pudukkottai
Balamurugan S,IND,0,12th Pass,39,"Rs 6,000 ~ 6 Thou+",Rs 0 ~,Paramakudi Sc),Ramanathapuram
Govindan V,BSP,0,Post Graduate,66,"Rs 31,04,000 ~ 31 Lacs+",Rs 0 ~,Paramakudi Sc),Ramanathapuram
Kumar S,IND,0,10th Pass,48,"Rs 3,69,475 ~ 3 Lacs+",Rs 0 ~,Paramakudi Sc),Ramanathapuram
Murugesan S,DMK,0,5th Pass,54,"Rs 1,80,41,519 ~ 1 Crore+","Rs 2,05,27,786 ~ 2 Crore+",Paramakudi Sc),Ramanathapuram
Murukesan K,IND,0,5th Pass,49,"Rs 9,49,200 ~ 9 Lacs+",Rs 0 ~,Paramakudi Sc),Ramanathapuram
Parthasarathi M,My India Party,0,Graduate,40,"Rs 9,17,000 ~ 9 Lacs+","Rs 3,00,000 ~ 3 Lacs+",Paramakudi Sc),Ramanathapuram
Rajiv Gandhi K,IND,1,Post Graduate,30,"Rs 10,49,200 ~ 10 Lacs+","Rs 3,88,700 ~ 3 Lacs+",Paramakudi Sc),Ramanathapuram
Ramapandi C,IND,0,Graduate Professional,28,"Rs 19,10,000 ~ 19 Lacs+","Rs 15,02,244 ~ 15 Lacs+",Paramakudi Sc),Ramanathapuram
Ravisankar V,IND,0,12th Pass,45,"Rs 4,65,000 ~ 4 Lacs+",Rs 0 ~,Paramakudi Sc),Ramanathapuram
Sadhan Prabhakar N,AIADMK,0,Post Graduate,49,"Rs 1,25,09,841 ~ 1 Crore+","Rs 12,39,628 ~ 12 Lacs+",Paramakudi Sc),Ramanathapuram
Sasikala S,Naam Tamilar Katchi,0,Post Graduate,32,"Rs 9,89,000 ~ 9 Lacs+","Rs 8,00,000 ~ 8 Lacs+",Paramakudi Sc),Ramanathapuram
Selvi U,DMDK,0,10th Pass,50,"Rs 1,29,800 ~ 1 Lacs+",Rs 0 ~,Paramakudi Sc),Ramanathapuram
Udayakumar,IND,0,Graduate,41,"Rs 7,64,186 ~ 7 Lacs+",Rs 0 ~,Paramakudi Sc),Ramanathapuram
Udhayakumar M,IND,0,Graduate Professional,30,"Rs 1,59,000 ~ 1 Lacs+",Rs 0 ~,Paramakudi Sc),Ramanathapuram
Anbubagurudeen N,NCP,0,5th Pass,65,"Rs 11,42,500 ~ 11 Lacs+",Rs 0 ~,Tiruvadanai,Ramanathapuram
Jawahar,Naam Tamilar Katchi,0,Graduate Professional,36,"Rs 53,20,000 ~ 53 Lacs+","Rs 15,00,000 ~ 15 Lacs+",Tiruvadanai,Ramanathapuram
K C Animuthu,AIADMK,0,Graduate Professional,51,"Rs 93,00,622 ~ 93 Lacs+","Rs 43,89,899 ~ 43 Lacs+",Tiruvadanai,Ramanathapuram
Karumanickam,INC,0,Graduate Professional,35,"Rs 3,11,30,586 ~ 3 Crore+",Rs 0 ~,Tiruvadanai,Ramanathapuram
Ramalingam,BSP,0,Graduate Professional,45,"Rs 6,81,000 ~ 6 Lacs+","Rs 3,00,000 ~ 3 Lacs+",Tiruvadanai,Ramanathapuram
Allapichai,BSP,0,Graduate,76,"Rs 1,97,77,300 ~ 1 Crore+",Rs 0 ~,Ramanathapuram,Ramanathapuram
Amuthan,Namadhu Makkal Katchi,0,12th Pass,60,"Rs 87,000 ~ 87 Thou+",Rs 0 ~,Ramanathapuram,Ramanathapuram
Asanali,IND,0,12th Pass,34,"Rs 4,71,300 ~ 4 Lacs+",Rs 0 ~,Ramanathapuram,Ramanathapuram
B Vijayaprakash,IND,0,12th Pass,31,"Rs 1,45,000 ~ 1 Lacs+",Rs 0 ~,Ramanathapuram,Ramanathapuram
D.Kuppuramu,BJP,1,Graduate Professional,64,"Rs 1,80,16,040 ~ 1 Crore+",Rs 0 ~,Ramanathapuram,Ramanathapuram
E Vinoth,IND,0,10th Pass,26,"Rs 2,32,000 ~ 2 Lacs+",Rs 0 ~,Ramanathapuram,Ramanathapuram
K.Kurunthappan,IND,0,8th Pass,44,"Rs 7,40,000 ~ 7 Lacs+",Rs 0 ~,Ramanathapuram,Ramanathapuram
K.P Saravanan,Makkal Needhi Maiam,0,10th Pass,47,"Rs 2,67,000 ~ 2 Lacs+",Rs 0 ~,Ramanathapuram,Ramanathapuram
Katharbatcha Muthuramalingam,DMK,5,12th Pass,49,"Rs 1,02,60,895 ~ 1 Crore+","Rs 14,25,590 ~ 14 Lacs+",Ramanathapuram,Ramanathapuram
Misra G,IND,0,10th Pass,40,"Rs 25,72,000 ~ 25 Lacs+","Rs 6,20,000 ~ 6 Lacs+",Ramanathapuram,Ramanathapuram
N Muniyasami,IND,0,10th Pass,49,"Rs 13,22,186 ~ 13 Lacs+",Rs 0 ~,Ramanathapuram,Ramanathapuram
R.S.Wilhelm Benjamin Anand,Bahujan Dravida Party,0,Post Graduate,34,"Rs 3,87,000 ~ 3 Lacs+",Rs 0 ~,Ramanathapuram,Ramanathapuram
S.Suresh,IND,0,Graduate,31,"Rs 1,88,750 ~ 1 Lacs+",Rs 0 ~,Ramanathapuram,Ramanathapuram
Suryaprakash,IND,1,Others,46,"Rs 1,48,42,000 ~ 1 Crore+","Rs 26,95,000 ~ 26 Lacs+",Ramanathapuram,Ramanathapuram
V.Jayaprakash,My India Party,0,10th Pass,48,"Rs 50,000 ~ 50 Thou+",Rs 0 ~,Ramanathapuram,Ramanathapuram
A.Saravanakumar,Naam Indiar Party,0,8th Pass,41,"Rs 2,95,000 ~ 2 Lacs+",Rs 0 ~,Mudukulathur,Ramanathapuram
C.Malaiselvam,Puthiya Tamilagam,0,10th Pass,42,"Rs 6,50,000 ~ 6 Lacs+",Rs 0 ~,Mudukulathur,Ramanathapuram
C.Navapanneerselvam,Makkal Needhi Maiam,0,Graduate,63,"Rs 18,46,603 ~ 18 Lacs+","Rs 3,10,000 ~ 3 Lacs+",Mudukulathur,Ramanathapuram
Deva Sitham.I,IND,2,Graduate,33,"Rs 3,33,000 ~ 3 Lacs+","Rs 3,62,660 ~ 3 Lacs+",Mudukulathur,Ramanathapuram
E.Mohan,IND,0,5th Pass,51,"Rs 57,000 ~ 57 Thou+",Rs 0 ~,Mudukulathur,Ramanathapuram
K.Boomirajan Yadav,Tamilaga Makkal Thannurimai Katchi,2,5th Pass,39,"Rs 13,62,250 ~ 13 Lacs+",Rs 0 ~,Mudukulathur,Ramanathapuram
K.Murugan,IND,0,10th Pass,39,"Rs 15,53,440 ~ 15 Lacs+","Rs 8,50,000 ~ 8 Lacs+",Mudukulathur,Ramanathapuram
K.Rajakumar,IND,0,Graduate,38,"Rs 17,97,440 ~ 17 Lacs+","Rs 9,50,000 ~ 9 Lacs+",Mudukulathur,Ramanathapuram
K.Sathish,IND,0,Literate,42,"Rs 6,93,000 ~ 6 Lacs+",Rs 0 ~,Mudukulathur,Ramanathapuram
Keerthika,AIADMK,1,Post Graduate,44,"Rs 8,64,95,574 ~ 8 Crore+","Rs 1,47,40,644 ~ 1 Crore+",Mudukulathur,Ramanathapuram
N.Sivanandam,BSP,0,Graduate,37,"Rs 18,31,000 ~ 18 Lacs+",Rs 0 ~,Mudukulathur,Ramanathapuram
P.Murugan,IND,0,5th Pass,41,"Rs 57,000 ~ 57 Thou+",Rs 0 ~,Mudukulathur,Ramanathapuram
R.Rahmadnisha,Naam Tamilar Katchi,0,Literate,37,"Rs 22,95,000 ~ 22 Lacs+","Rs 6,55,040 ~ 6 Lacs+",Mudukulathur,Ramanathapuram
R.S.Rajakannappan,DMK,0,Graduate Professional,72,"Rs 1,40,07,776 ~ 1 Crore+",Rs 0 ~,Mudukulathur,Ramanathapuram
S.Prabakaran,IND,0,8th Pass,31,"Rs 31,92,440 ~ 31 Lacs+","Rs 20,00,000 ~ 20 Lacs+",Mudukulathur,Ramanathapuram
S.Raja,Peoples Party of India(secular),0,Graduate,43,"Rs 9,46,785 ~ 9 Lacs+",Rs 0 ~,Mudukulathur,Ramanathapuram
T.Azhakumalai Kumaran,IND,0,Graduate Professional,43,"Rs 23,08,054 ~ 23 Lacs+","Rs 65,000 ~ 65 Thou+",Mudukulathur,Ramanathapuram
A.Gauthaman,IND,0,10th Pass,28,"Rs 26,500 ~ 26 Thou+",Rs 0 ~,Arakkonam Sc),Ranipet
C.M.Gowthaman,IND,0,Graduate,30,"Rs 20,600 ~ 20 Thou+",Rs 0 ~,Arakkonam Sc),Ranipet
C.Mohan,IND,0,8th Pass,40,"Rs 58,400 ~ 58 Thou+",Rs 0 ~,Arakkonam Sc),Ranipet
E.Abirami,Naam Tamilar Katchi,0,Graduate,27,"Rs 2,41,520 ~ 2 Lacs+",Rs 0 ~,Arakkonam Sc),Ranipet
K.C.Manivannan,Amma Makkal Munnettra Kazagam,1,12th Pass,46,"Rs 68,93,662 ~ 68 Lacs+","Rs 21,62,700 ~ 21 Lacs+",Arakkonam Sc),Ranipet
P.Ravi,IND,0,5th Pass,46,"Rs 1,58,000 ~ 1 Lacs+",Rs 0 ~,Arakkonam Sc),Ranipet
P.Sudhakar,BSP,0,12th Pass,42,"Rs 4,50,000 ~ 4 Lacs+",Rs 0 ~,Arakkonam Sc),Ranipet
S.Baskaran,Makkal Needhi Maiam,0,12th Pass,37,"Rs 6,07,000 ~ 6 Lacs+","Rs 3,00,000 ~ 3 Lacs+",Arakkonam Sc),Ranipet
S.Ravi,AIADMK,0,Graduate Professional,57,"Rs 1,15,74,232 ~ 1 Crore+","Rs 1,07,04,428 ~ 1 Crore+",Arakkonam Sc),Ranipet
V.Ravi,IND,0,10th Pass,54,"Rs 3,60,000 ~ 3 Lacs+",Rs 0 ~,Arakkonam Sc),Ranipet
P.Parthiban,IND,0,10th Pass,27,"Rs 8,61,570 ~ 8 Lacs+",Rs 0 ~,Sholinghur,Ranipet
A.M.Krishnan,Pattali Makkal Katchi,0,8th Pass,48,"Rs 4,23,52,254 ~ 4 Crore+","Rs 2,50,63,162 ~ 2 Crore+",Sholinghur,Ranipet
A.M.Munirathinam,INC,2,10th Pass,65,"Rs 70,32,68,591 ~ 70 Crore+","Rs 50,95,81,789 ~ 50 Crore+",Sholinghur,Ranipet
A.Palani,IND,0,10th Pass,40,"Rs 5,95,000 ~ 5 Lacs+",Rs 0 ~,Sholinghur,Ranipet
C.Munirathinam,IND,0,10th Pass,52,"Rs 22,77,000 ~ 22 Lacs+",Rs 0 ~,Sholinghur,Ranipet
G.Vijayakumar,Desiya Sirupanmayinar Makkal Iyakkam,0,Graduate Professional,41,"Rs 53,30,500 ~ 53 Lacs+","Rs 11,00,000 ~ 11 Lacs+",Sholinghur,Ranipet
J.Balaji,IND,0,8th Pass,27,"Rs 3,79,042 ~ 3 Lacs+","Rs 2,00,000 ~ 2 Lacs+",Sholinghur,Ranipet
K.Mani,IND,0,5th Pass,52,"Rs 2,21,700 ~ 2 Lacs+",Rs 0 ~,Sholinghur,Ranipet
K.Sekar,IND,0,10th Pass,48,"Rs 5,10,948 ~ 5 Lacs+",Rs 0 ~,Sholinghur,Ranipet
M.Giridharan,BSP,0,Others,35,"Rs 3,91,000 ~ 3 Lacs+",Rs 0 ~,Sholinghur,Ranipet
N.G.Parthiban,Amma Makkal Munnettra Kazagam,1,Graduate Professional,46,"Rs 1,54,76,762 ~ 1 Crore+","Rs 28,97,031 ~ 28 Lacs+",Sholinghur,Ranipet
N.Mani,IND,0,10th Pass,43,"Rs 2,52,000 ~ 2 Lacs+",Rs 0 ~,Sholinghur,Ranipet
R.Elumalai,IND,0,Illiterate,45,"Rs 35,000 ~ 35 Thou+",Rs 0 ~,Sholinghur,Ranipet
R.Vinoth,Veerath Thiyagi Viswanathadoss Thozhilalarkal Katchi,0,10th Pass,28,"Rs 1,50,000 ~ 1 Lacs+",Rs 0 ~,Sholinghur,Ranipet
Y.R.Pavendhan,Naam Tamilar Katchi,2,Post Graduate,48,"Rs 45,49,300 ~ 45 Lacs+","Rs 13,15,000 ~ 13 Lacs+",Sholinghur,Ranipet
A.Manikandan,IND,0,Post Graduate,25,"Rs 1,70,846 ~ 1 Lacs+",Rs 0 ~,Ranipet,Ranipet
K.Sakthivel Nathan,IND,0,12th Pass,48,"Rs 25,000 ~ 25 Thou+",Rs 0 ~,Ranipet,Ranipet
M.Atham Basha,Makkal Needhi Maiam,0,5th Pass,55,"Rs 15,50,000 ~ 15 Lacs+","Rs 15,00,000 ~ 15 Lacs+",Ranipet,Ranipet
N.Sugumar,IND,0,8th Pass,37,"Rs 2,23,000 ~ 2 Lacs+",Rs 0 ~,Ranipet,Ranipet
R.Gandhi,DMK,3,10th Pass,75,"Rs 47,94,13,150 ~ 47 Crore+","Rs 14,46,35,282 ~ 14 Crore+",Ranipet,Ranipet
S.Jayakumar,IND,0,5th Pass,33,"Rs 16,10,450 ~ 16 Lacs+","Rs 10,00,000 ~ 10 Lacs+",Ranipet,Ranipet
S.M.Sugumar,AIADMK,0,10th Pass,60,"Rs 32,28,15,425 ~ 32 Crore+",Rs 0 ~,Ranipet,Ranipet
S.Yuvaraj,IND,0,10th Pass,29,"Rs 3,000 ~ 3 Thou+","Rs 39,000 ~ 39 Thou+",Ranipet,Ranipet
V.Shylaja,Naam Tamilar Katchi,0,Graduate Professional,30,"Rs 49,79,652 ~ 49 Lacs+","Rs 1,23,392 ~ 1 Lacs+",Ranipet,Ranipet
A.R.Mohamed Raffi,Makkal Needhi Maiam,1,Others,39,"Rs 4,32,000 ~ 4 Lacs+","Rs 36,00,000 ~ 36 Lacs+",Arcot,Ranipet
Elavazagan.K.L,Pattali Makkal Katchi,0,10th Pass,52,"Rs 1,10,18,544 ~ 1 Crore+","Rs 60,77,087 ~ 60 Lacs+",Arcot,Ranipet
J.L.Eswarappan,DMK,0,Graduate Professional,42,"Rs 13,17,71,131 ~ 13 Crore+","Rs 7,11,98,073 ~ 7 Crore+",Arcot,Ranipet
K.Manigandan,IND,0,10th Pass,42,"Rs 6,48,049 ~ 6 Lacs+",Rs 0 ~,Arcot,Ranipet
N.Janarthanan,Amma Makkal Munnettra Kazagam,0,10th Pass,57,"Rs 21,75,700 ~ 21 Lacs+","Rs 12,60,681 ~ 12 Lacs+",Arcot,Ranipet
P.Eswaran,IND,0,10th Pass,47,"Rs 2,69,000 ~ 2 Lacs+","Rs 2,80,000 ~ 2 Lacs+",Arcot,Ranipet
R.Kathiravan,Naam Tamilar Katchi,0,12th Pass,29,"Rs 1,72,941 ~ 1 Lacs+",Rs 0 ~,Arcot,Ranipet
T.D.Shanmugam,IND,0,Graduate,63,"Rs 1,01,00,000 ~ 1 Crore+",Rs 0 ~,Arcot,Ranipet
Vasanthakumar,IND,1,10th Pass,41,"Rs 15,15,700 ~ 15 Lacs+",Rs 0 ~,Arcot,Ranipet
A.Nallathambi,AIADMK,0,5th Pass,56,"Rs 56,31,971 ~ 56 Lacs+","Rs 17,53,948 ~ 17 Lacs+",Gangavalli Sc),Salem
A.Pandian,Amma Makkal Munnettra Kazagam,1,10th Pass,58,"Rs 12,03,077 ~ 12 Lacs+",Rs 0 ~,Gangavalli Sc),Salem
Ayyadurai.J,IND,0,12th Pass,37,"Rs 14,97,551 ~ 14 Lacs+",Rs 0 ~,Gangavalli Sc),Salem
Chandrasekaran.K,IND,0,10th Pass,47,"Rs 35,05,000 ~ 35 Lacs+",Rs 0 ~,Gangavalli Sc),Salem
Periyasamy.K,Indiya Jananayaka Katchi,0,10th Pass,43,"Rs 5,00,000 ~ 5 Lacs+",Rs 0 ~,Gangavalli Sc),Salem
Rekha Priyadharshini.J,DMK,2,Post Graduate,38,"Rs 52,18,739 ~ 52 Lacs+","Rs 14,00,000 ~ 14 Lacs+",Gangavalli Sc),Salem
Saravanan.R,IND,0,Others,33,"Rs 77,97,000 ~ 77 Lacs+","Rs 4,60,000 ~ 4 Lacs+",Gangavalli Sc),Salem
Vinothini.R,Naam Tamilar Katchi,0,Post Graduate,26,"Rs 1,50,000 ~ 1 Lacs+",Rs 0 ~,Gangavalli Sc),Salem
A P Jayasankaran,AIADMK,0,Others,50,"Rs 5,61,14,528 ~ 5 Crore+","Rs 7,25,959 ~ 7 Lacs+",Attur Sc),Salem
J Silambarasan,IND,0,Illiterate,34,"Rs 2,00,500 ~ 2 Lacs+",Rs 0 ~,Attur Sc),Salem
K Chinnadurai,DMK,1,Graduate Professional,55,"Rs 1,43,81,931 ~ 1 Crore+","Rs 31,69,630 ~ 31 Lacs+",Attur Sc),Salem
K K Matheswari,Anna Dravidar Kazhagam,0,Post Graduate,52,"Rs 7,47,500 ~ 7 Lacs+",Rs 0 ~,Attur Sc),Salem
P Sivakumar,Makkal Needhi Maiam,0,5th Pass,43,"Rs 11,46,000 ~ 11 Lacs+",Rs 0 ~,Attur Sc),Salem
S Krishnaveni,Naam Tamilar Katchi,0,Post Graduate,28,"Rs 10,000 ~ 10 Thou+",Rs 0 ~,Attur Sc),Salem
S Madheswaran,Amma Makkal Munnettra Kazagam,0,Graduate,53,"Rs 46,73,088 ~ 46 Lacs+",Rs 0 ~,Attur Sc),Salem
C. Kumar,DMDK,0,8th Pass,41,"Rs 6,85,000 ~ 6 Lacs+","Rs 1,80,000 ~ 1 Lacs+",Yercaud St),Salem
C. Tamilselvan,DMK,0,5th Pass,50,"Rs 36,62,439 ~ 36 Lacs+",Rs 0 ~,Yercaud St),Salem
D. Madesh,IND,0,Others,36,"Rs 81,401 ~ 81 Thou+",Rs 0 ~,Yercaud St),Salem
G. Chitra,AIADMK,0,5th Pass,40,"Rs 1,69,04,643 ~ 1 Crore+","Rs 5,50,785 ~ 5 Lacs+",Yercaud St),Salem
Jothi,Naam Tamilar Katchi,0,Post Graduate,26,"Rs 2,18,966 ~ 2 Lacs+","Rs 4,41,010 ~ 4 Lacs+",Yercaud St),Salem
K. Manikandan,IND,0,Graduate Professional,27,"Rs 14,605 ~ 14 Thou+",Rs 0 ~,Yercaud St),Salem
K. Unnamalai,IND,0,Illiterate,51,"Rs 3,25,800 ~ 3 Lacs+",Rs 0 ~,Yercaud St),Salem
P. Ramasamy,BSP,0,8th Pass,40,"Rs 2,24,500 ~ 2 Lacs+",Rs 0 ~,Yercaud St),Salem
P. Sathishkumar,IND,0,Graduate,26,"Rs 62,200 ~ 62 Thou+",Rs 0 ~,Yercaud St),Salem
S.T. Rajendhiran,IND,0,12th Pass,39,"Rs 16,68,000 ~ 16 Lacs+","Rs 3,07,000 ~ 3 Lacs+",Yercaud St),Salem
Santhosam,IND,0,8th Pass,31,"Rs 38,000 ~ 38 Thou+",Rs 0 ~,Yercaud St),Salem
T. Duraisamy,Indiya Jananayaka Katchi,0,5th Pass,62,"Rs 10,15,000 ~ 10 Lacs+","Rs 1,00,000 ~ 1 Lacs+",Yercaud St),Salem
T. Priya,IND,0,Graduate Professional,26,"Rs 16,180 ~ 16 Thou+",Rs 0 ~,Yercaud St),Salem
A.Raja,Naam Tamilar Katchi,3,12th Pass,59,"Rs 1,51,69,000 ~ 1 Crore+",Rs 0 ~,Omalur,Salem
E.Mani,IND,0,10th Pass,47,"Rs 1,01,500 ~ 1 Lacs+",Rs 0 ~,Omalur,Salem
K.Govindaraju,IND,0,10th Pass,44,"Rs 24,11,634 ~ 24 Lacs+",Rs 0 ~,Omalur,Salem
K.K.Madheswaran,Amma Makkal Munnettra Kazagam,2,Post Graduate,62,"Rs 1,28,20,015 ~ 1 Crore+","Rs 24,38,865 ~ 24 Lacs+",Omalur,Salem
M.Karunakaran,Tamil Nadu Ilangyar Katchi,0,Post Graduate,32,"Rs 1,98,176 ~ 1 Lacs+","Rs 11,91,441 ~ 11 Lacs+",Omalur,Salem
N.V.Thomas,BSP,0,8th Pass,49,"Rs 10,500 ~ 10 Thou+",Rs 0 ~,Omalur,Salem
P.Raja,IND,0,5th Pass,44,"Rs 7,95,000 ~ 7 Lacs+",Rs 0 ~,Omalur,Salem
R.Mani,AIADMK,1,Graduate Professional,43,"Rs 4,98,71,511 ~ 4 Crore+","Rs 2,06,15,757 ~ 2 Crore+",Omalur,Salem
R.Murugan,IND,0,5th Pass,59,"Rs 2,17,479 ~ 2 Lacs+","Rs 70,000 ~ 70 Thou+",Omalur,Salem
Rangarajan Mohan Kumaramangalam,INC,1,Post Graduate,42,"Rs 48,76,36,609 ~ 48 Crore+","Rs 3,26,75,000 ~ 3 Crore+",Omalur,Salem
S.Mani,IND,0,10th Pass,53,"Rs 12,99,000 ~ 12 Lacs+","Rs 2,00,000 ~ 2 Lacs+",Omalur,Salem
T.Suresh,IND,4,Graduate Professional,39,"Rs 82,17,570 ~ 82 Lacs+","Rs 1,70,000 ~ 1 Lacs+",Omalur,Salem
V.Srinivasan,Makkal Needhi Maiam,0,Post Graduate,37,"Rs 18,99,411 ~ 18 Lacs+","Rs 7,00,000 ~ 7 Lacs+",Omalur,Salem
Ambika.A,IND,0,10th Pass,30,"Rs 25,500 ~ 25 Thou+",Rs 0 ~,Mettur,Salem
Anusuya.P,Makkal Needhi Maiam,0,Others,25,"Rs 1,70,611 ~ 1 Lacs+",Rs 0 ~,Mettur,Salem
Arivazhagan.P,IND,0,Graduate Professional,51,"Rs 4,39,02,381 ~ 4 Crore+","Rs 3,50,000 ~ 3 Lacs+",Mettur,Salem
Banupriya.P,Ganasangam Party of India,0,Graduate,25,"Rs 1,07,700 ~ 1 Lacs+","Rs 40,502 ~ 40 Thou+",Mettur,Salem
C.Manikandan,Naam Tamilar Katchi,0,10th Pass,29,"Rs 19,46,521 ~ 19 Lacs+","Rs 75,000 ~ 75 Thou+",Mettur,Salem
Dr.Padmarajan.K,IND,0,Post Graduate,60,"Rs 15,11,000 ~ 15 Lacs+",Rs 0 ~,Mettur,Salem
Ramesh Aravind,DMDK,0,10th Pass,42,"Rs 12,06,439 ~ 12 Lacs+","Rs 4,38,500 ~ 4 Lacs+",Mettur,Salem
Sadhasivam.S,Pattali Makkal Katchi,2,Post Graduate,54,"Rs 2,78,12,072 ~ 2 Crore+","Rs 66,31,052 ~ 66 Lacs+",Mettur,Salem
Selvan,IND,0,5th Pass,37,"Rs 40,000 ~ 40 Thou+",Rs 0 ~,Mettur,Salem
Srinivasaperumal.S,DMK,5,12th Pass,46,"Rs 11,39,23,027 ~ 11 Crore+","Rs 7,44,23,163 ~ 7 Crore+",Mettur,Salem
Thangavel. K,Dhesiya Makkal Kazhagam,0,Illiterate,37,"Rs 18,000 ~ 18 Thou+",Rs 0 ~,Mettur,Salem
Agni Sriramachandran. N,IND,0,10th Pass,40,"Rs 6,00,000 ~ 6 Lacs+",Rs 0 ~,Edappadi,Salem
Balamurugan. M,IND,0,Graduate,34,"Rs 20,000 ~ 20 Thou+",Rs 0 ~,Edappadi,Salem
Balasubramaniam J,IND,0,10th Pass,49,"Rs 1,34,402 ~ 1 Lacs+",Rs 0 ~,Edappadi,Salem
Dr.K.Padmarajan,IND,0,Post Graduate,60,"Rs 15,11,000 ~ 15 Lacs+",Rs 0 ~,Edappadi,Salem
Eswaramoorthy P,IND,0,12th Pass,50,"Rs 4,12,500 ~ 4 Lacs+",Rs 0 ~,Edappadi,Salem
Eswaramurthy N,IND,0,12th Pass,45,"Rs 11,15,510 ~ 11 Lacs+","Rs 1,32,000 ~ 1 Lacs+",Edappadi,Salem
Eswari P,Ambedkarite Party of India,0,8th Pass,45,"Rs 10,000 ~ 10 Thou+",Rs 0 ~,Edappadi,Salem
Guheshkumar M,IND,0,Others,35,"Rs 6,31,638 ~ 6 Lacs+","Rs 2,05,022 ~ 2 Lacs+",Edappadi,Salem
Gunasekaran. K.N,My India Party,0,Others,62,"Rs 51,50,000 ~ 51 Lacs+",Rs 0 ~,Edappadi,Salem
Iyyappan P,IND,0,Graduate Professional,37,"Rs 9,60,519 ~ 9 Lacs+","Rs 1,00,000 ~ 1 Lacs+",Edappadi,Salem
Jamuna A,BSP,0,Graduate,25,"Rs 5,500 ~ 5 Thou+",Rs 0 ~,Edappadi,Salem
L. Kathiresan,IND,0,Post Graduate,48,"Rs 17,78,032 ~ 17 Lacs+",Rs 0 ~,Edappadi,Salem
Lakshmi. G,IND,0,Illiterate,51,Nil,Rs 0 ~,Edappadi,Salem
Loganathan. S,IND,0,Literate,61,"Rs 80,000 ~ 80 Thou+",Rs 0 ~,Edappadi,Salem
Mani. C,Dhesiya Makkal Kazhagam,0,Post Graduate,59,"Rs 80,000 ~ 80 Thou+",Rs 0 ~,Edappadi,Salem
Manikandan. R,Tamil Nadu Ilangyar Katchi,0,Graduate Professional,28,"Rs 4,28,960 ~ 4 Lacs+",Rs 0 ~,Edappadi,Salem
Murugan M,IND,0,Graduate,32,"Rs 32,000 ~ 32 Thou+",Rs 0 ~,Edappadi,Salem
Palanisamy. A,IND,0,10th Pass,56,"Rs 2,21,000 ~ 2 Lacs+",Rs 0 ~,Edappadi,Salem
Palaniswami K,AIADMK,0,Graduate,67,"Rs 6,70,37,269 ~ 6 Crore+","Rs 29,75,453 ~ 29 Lacs+",Edappadi,Salem
Pookadai Sekar N,Amma Makkal Munnettra Kazagam,3,10th Pass,54,"Rs 17,83,509 ~ 17 Lacs+","Rs 83,723 ~ 83 Thou+",Edappadi,Salem
Sambathkumar T,DMK,0,Post Graduate,36,"Rs 57,67,228 ~ 57 Lacs+","Rs 68,000 ~ 68 Thou+",Edappadi,Salem
Shanmugam. G,IND,0,10th Pass,51,"Rs 1,00,000 ~ 1 Lacs+",Rs 0 ~,Edappadi,Salem
Shrirathna,Naam Tamilar Katchi,0,Post Graduate,33,"Rs 4,31,261 ~ 4 Lacs+",Rs 0 ~,Edappadi,Salem
Sownthararajan. G,IND,0,Others,29,"Rs 4,30,000 ~ 4 Lacs+","Rs 1,50,000 ~ 1 Lacs+",Edappadi,Salem
Stalin A,IND,0,5th Pass,54,"Rs 41,40,000 ~ 41 Lacs+",Rs 0 ~,Edappadi,Salem
